Model,Scenario,Region,Variable,Unit,2050
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Scandinavia,Capacity|Electricity|Biomass,GW,4.590141374883097
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Scandinavia,Capacity|Electricity|Gas,GW,3.179002814053973
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Scandinavia,Capacity|Electricity|Hydro,GW,37.34539783652524
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Scandinavia,Capacity|Electricity|Nuclear,GW,2.419399202929684
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Scandinavia,Capacity|Electricity|Oil,GW,0.270154413997833
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Scandinavia,Capacity|Electricity|Solar,GW,34.17550902291004
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Scandinavia,Capacity|Electricity|Wind,GW,62.07423819404038
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Scandinavia,Capacity|Electricity|Wind|Offshore,GW,4.556803151122246
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Scandinavia,Capacity|Electricity|Wind|Onshore,GW,57.51743504291815
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Scandinavia,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,-7.576388858602263
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Spain,Capacity|Electricity|Biomass,GW,20.86456967801415
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Spain,Capacity|Electricity|Gas,GW,1.985709195281365
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Spain,Capacity|Electricity|Hydro,GW,27.7662662861934
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Spain,Capacity|Electricity|Solar,GW,198.272005361909
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Spain,Capacity|Electricity|Wind,GW,144.6555880816354
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Spain,Capacity|Electricity|Wind|Onshore,GW,144.6555880816354
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Spain,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,-41.82260338973409
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Switzerland,Capacity|Electricity|Biomass,GW,0.12320331450570601
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Switzerland,Capacity|Electricity|Hydro,GW,17.361
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Switzerland,Capacity|Electricity|Solar,GW,28.135765938792
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Switzerland,Capacity|Electricity|Wind,GW,4.5592662008197475
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,Switzerland,Capacity|Electricity|Wind|Onshore,GW,4.5592662008197475
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,The Netherlands,Capacity|Electricity|Biomass,GW,3.814400570769624
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,The Netherlands,Capacity|Electricity|Coal,GW,0.930538429921907
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,The Netherlands,Capacity|Electricity|Gas,GW,16.0288813242328
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,The Netherlands,Capacity|Electricity|Hydro,GW,0.0874
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,The Netherlands,Capacity|Electricity|Solar,GW,28.38085471847911
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,The Netherlands,Capacity|Electricity|Wind,GW,18.87550214318634
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,The Netherlands,Capacity|Electricity|Wind|Offshore,GW,8.675785939271185
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,The Netherlands,Capacity|Electricity|Wind|Onshore,GW,10.19971620391516
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,The Netherlands,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,-5.346482595515004
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,United Kingdom,Capacity|Electricity|Biomass,GW,12.13797992026123
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,United Kingdom,Capacity|Electricity|Coal,GW,2.785752274002224
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,United Kingdom,Capacity|Electricity|Gas,GW,23.91925431919608
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,United Kingdom,Capacity|Electricity|Hydro,GW,2.11136937217146
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,United Kingdom,Capacity|Electricity|Oil,GW,0.019362934681794
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,United Kingdom,Capacity|Electricity|Solar,GW,131.8500866430232
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,United Kingdom,Capacity|Electricity|Wind,GW,182.6845214139708
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,United Kingdom,Capacity|Electricity|Wind|Offshore,GW,44.55952141397079
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,United Kingdom,Capacity|Electricity|Wind|Onshore,GW,138.125
GENeSYS-MOD 2.9.0-oe,Directed Transition 1.0,United Kingdom,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,-19.92852071939288
