HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
48;Q1N;0;0.398601593;0.047135396;0;0;0.843843644;0.793533617;0.381;0.020993771;0.733117713;0.019;0.238;0;0.800966653;0.024622542;0;0.74795681;0.659;0.485513117;0.350995107;0.194;0.799915256;0.405495355;0;0.845251762;0.810228146;0.852275382;0.852275382;0.049;0.591
49;Q1N;0;0.353212711;0.049730074;0;0;0.875884953;0.815597895;0.351;0.021005175;0.685277195;0.015;0.318;0;0.807711173;0.017152242;0;0.740257074;0.593;0.511082869;0.374981134;0.201;0.834591031;0.408890435;0;0.861202964;0.795420092;0.894622191;0.894622191;0.045;0.616
50;Q1N;0;0.315559802;0.055713185;0;0;0.90792865;0.843735706;0.335;0.02123428;0.634640583;0.012;0.349;0;0.817781749;0.017925285;0;0.734963171;0.521;0.537711167;0.400990063;0.2;0.841297005;0.413967582;0;0.87696986;0.786341057;0.9375615;0.9375615;0.041;0.644
51;Q1N;0;0.307072111;0.062339141;0;0;0.887968359;0.872819402;0.325;0.020091716;0.641947419;0.025;0.194;0;0.81089588;0.011473071;0;0.708899569;0.486;0.54227704;0.401368048;0.173;0.838778064;0.410283598;0;0.880966167;0.741684216;0.917208509;0.917208509;0.046;0.672
52;Q1N;0;0.301029087;0.069877782;0;0;0.872959586;0.914435923;0.383;0.019106893;0.64973615;0.054;0.109;0;0.806117104;0.014782647;0;0.687811169;0.467;0.550117833;0.40424513;0.139;0.837428412;0.407884362;0;0.880439781;0.698780899;0.896493773;0.896493773;0.052;0.68
53;Q1N;0;0.297444096;0.078254536;0;0;0.859440612;0.933165635;0.445;0.018095007;0.657968184;0.091;0.12;0;0.801007422;0.011234137;0;0.672054789;0.488;0.560782898;0.409635143;0.119;0.837262106;0.405503194;0;0.879300852;0.658119551;0.875440609;0.875440609;0.035;0.658
54;Q1N;0;0.296317043;0.087402596;0;0;0.846046832;0.960738598;0.488;0.017128914;0.669600969;0.138;0.149;0;0.795592741;0.010441097;0;0.661867588;0.464;0.575122194;0.41753228;0.113;0.838180479;0.40310206;0;0.878217706;0.620129342;0.854077545;0.854077545;0.019;0.621
55;Q1M;0;0.297645611;0.097264795;0;0;0.845248999;0.979166618;0.549;0.01651547;0.672737887;0.211;0.138;0;0.789897689;0.010149885;0;0.657384445;0.469;0.59098473;0.427900443;0.104;0.840341569;0.394948845;0;0.875430848;0.585190001;0.8324331;0.8324331;0.02;0.582
56;Q1M;0;0.301425985;0.107427261;0;0;0.855322975;0.998741205;0.572;0.016716937;0.676419482;0.276;0.133;0;0.783945603;0.013798602;0;0.658646572;0.597;0.60921866;0.440670484;0.127;0.843621596;0.391972801;0;0.86999759;0.553630808;0.810535779;0.810535779;0.021;0.529
57;Q1M;0;0.330031212;0.095884114;0;0;0.861815688;0.999019623;0.553;0.014169089;0.649028072;0.303;0.138;0;0.772860369;0.011481157;0;0.663695076;0.688;0.622653015;0.440661133;0.151;0.855767053;0.386430185;0;0.862615306;0.445756076;0.795927098;0.795927098;0.034;0.486
58;Q1P;0;0.359486218;0.090228901;0;0;0.868511004;0.99923595;0.536;0.012584278;0.615054863;0.317;0.111;0;0.765643155;0.011037797;0;0.669125378;0.727;0.643928351;0.449333981;0.157;0.871468521;0.382821577;0;0.853525951;0.363848659;0.795517056;0.795517056;0.048;0.489
59;Q1P;0;0.3896935;0.090956153;0;0;0.875392954;0.999395502;0.543;0.014916001;0.582141695;0.305;0.086;0;0.762473617;0.012610901;0;0.67492453;0.773;0.672543868;0.46666828;0.147;0.890243112;0.381236808;0;0.842570461;0.311578469;0.809335114;0.809335114;0.068;0.539
60;Q1P;0;0.420563059;0.097155079;0;0;0.882448503;0.999551525;0.521;0.024325218;0.55107146;0.327;0.064;0;0.763456613;0.017018339;0;0.681080991;0.839;0.70705485;0.492526813;0.141;0.911731547;0.381728307;0;0.829547793;0.290347692;0.836716671;0.836716671;0.081;0.591
61;Q1P;0;0.452004834;0.109543607;0;0;0.889663953;0.99970345;0.463;0.044457114;0.522127171;0.386;0.054;0;0.768626766;0.027759961;0;0.687582619;0.899;0.742558046;0.52662364;0.141;0.919861868;0.384313383;0;0.816070202;0.300425721;0.876302173;0.876302173;0.07;0.598
62;Q1P;0;0.483928711;0.128699408;0;0;0.89702495;0.999932467;0.405;0.077389136;0.495572181;0.439;0.063;0;0.777948896;0.04314022;0;0.694416693;0.966;0.782315293;0.568472813;0.193;0.928398801;0.388974448;0;0.803501713;0.341709258;0.926024189;0.926024189;0.05;0.599
63;Q1A;0;0.436112291;0.11138189;0;0;0.864889375;0.999667688;0.377;0.081128634;0.478718667;0.44;0.058;0;0.738487456;0.031235602;0;0.645260953;0.977;0.788678231;0.567988274;0.297;0.925390302;0.369243728;0;0.755420243;0.366533211;0.798542632;0.798542632;0.034;0.644
