HOUR;TIMESLICE;AT;BE;BG;CH;CZ;DE;DK;ES;FI;FR;GR;HR;HU;IE;IT;LU;NL;NO;PL;PT;RO;SE;SI;SK;UK;EE;LT;LV;NONEU_Balkan;TR
27;Q1N;0.150788;0.336467;0.059665;0.09351;0.266496;0.7235;0.319294;0.312817;0.152008;0.222467;0.083741;0.084254;0.162191;0.250623;0.148295;0.297651;0.379383;0.187096;0.276997;0.201697;0.158362;0.183201;0.206596364;0;0.32988;0.266807;0.302772;0.203756;0.078214878;0.083741
28;Q1N;0.131296;0.301182;0.049742;0.082152;0.250195;0.781666667;0.316119;0.321408;0.150638;0.206415;0.087948;0.082493;0.146709;0.28969;0.151843;0.270022;0.350217;0.196476;0.269824;0.220044;0.143516;0.181543;0.211770192;0;0.289769;0.258452;0.275098;0.190426;0.062906341;0.087948
29;Q1N;0.116716;0.269117;0.051969;0.068212;0.238333;0.796833333;0.310969;0.338013;0.149321;0.188983;0.082057;0.06954;0.123046;0.328964;0.144564;0.237885;0.317062;0.200219;0.26799;0.227684;0.15494;0.182115;0.217409106;0;0.254167;0.261559;0.270428;0.202799;0.050919588;0.082057
30;Q1N;0.105578;0.248631;0.057528;0.057168;0.231411;0.873166667;0.309794;0.352743;0.145245;0.176216;0.069975;0.054869;0.100139;0.368508;0.139814;0.215541;0.296412;0.20176;0.269632;0.227556;0.170252;0.185932;0.223495773;0;0.234317;0.273375;0.272438;0.225329;0.041812314;0.069975
31;Q1M;0.095756;0.226594;0.062164;0.052255;0.23079;0.877;0.309397;0.362127;0.143118;0.163806;0.060528;0.044452;0.078784;0.406177;0.141427;0.198951;0.279604;0.196228;0.274851;0.225121;0.179396;0.190172;0.230011501;0;0.234296;0.291122;0.261856;0.2375;0.034404734;0.060528
32;Q1M;0.087062;0.197465;0.064889;0.052781;0.239906;0.883833333;0.306453;0.364854;0.146821;0.151676;0.053709;0.036842;0.060858;0.43287;0.146991;0.183247;0.254306;0.182302;0.289917;0.220392;0.179783;0.195778;0.236936453;0;0.251893;0.310316;0.247703;0.24899;0.028141228;0.053709
33;Q1M;0.07836;0.171591;0.060357;0.053327;0.25452;0.885166667;0.300156;0.365075;0.150484;0.143021;0.0462;0.031697;0.044054;0.445045;0.151934;0.167179;0.225895;0.168157;0.309943;0.212267;0.160909;0.201573;0.25274697;0;0.288995;0.335809;0.245862;0.270679;0.023929452;0.0462
34;Q1P;0.071026;0.154613;0.053502;0.052033;0.264757;0.906833333;0.30084;0.354866;0.150407;0.138853;0.040709;0.0297;0.031588;0.448335;0.156985;0.147182;0.20322;0.154531;0.324959;0.191751;0.127837;0.211013;0.268767599;0;0.335395;0.365338;0.256612;0.300252;0.020438993;0.040709
35;Q1P;0.065529;0.141902;0.055757;0.05256;0.268444;0.899333333;0.317338;0.339451;0.148478;0.129283;0.036376;0.030207;0.025764;0.439699;0.174219;0.122483;0.18865;0.14588;0.327483;0.144583;0.112123;0.217628;0.284888943;0;0.367049;0.397544;0.270639;0.318357;0.017596764;0.036376
36;Q1P;0.071855;0.130664;0.059574;0.060934;0.292308;0.896;0.335008;0.362789;0.148714;0.121667;0.032355;0.031898;0.026235;0.437572;0.186696;0.112168;0.174613;0.144565;0.335891;0.119802;0.116391;0.222207;0.301032556;0;0.389626;0.420212;0.285632;0.330327;0.014778215;0.032355
