FRT_Road_PHEV,Emissions|CO2|Energy|Demand|Transportation
PSNG_Road_BEV,Emissions|CO2|Energy|Demand|Transportation
PSNG_Road_H2,Emissions|CO2|Energy|Demand|Transportation
PSNG_Road_ICE,Emissions|CO2|Energy|Demand|Transportation
PSNG_Road_LNG,Emissions|CO2|Energy|Demand|Transportation
PSNG_Road_PHEV,Emissions|CO2|Energy|Demand|Transportation
P_Biomass,Emissions|CO2|Energy|Supply|Electricity
P_Biomass_CCS,Emissions|CO2|Energy|Supply|Electricity
P_Coal_Hardcoal,Emissions|CO2|Energy|Supply|Electricity
P_Coal_Hardcoal_CCS,Emissions|CO2|Energy|Supply|Electricity
P_Coal_Lignite,Emissions|CO2|Energy|Supply|Electricity
P_Coal_Lignite_CCS,Emissions|CO2|Energy|Supply|Electricity
P_Gas,Emissions|CO2|Energy|Supply|Electricity
P_Gas_CCS,Emissions|CO2|Energy|Supply|Electricity
P_H2_OCGT,Emissions|CO2|Energy|Supply|Electricity
P_Nuclear,Emissions|CO2|Energy|Supply|Electricity
P_Oil,Emissions|CO2|Energy|Supply|Electricity
